지역코드,법정동,거래일,아파트,지번,전용면적,층,건축년도,거래금액
11110,견지동,2021-07-20,대성스카이렉스,110,137.55,6,2008,126500
11110,교북동,2021-07-03,경희궁자이(4단지),126,37.2635,8,2017,87000
11110,교북동,2021-07-10,경희궁자이(4단지),126,45.879,18,2017,119000
11110,구기동,2021-07-03,마운틴뷰,125-5,66.13,3,2019,58500
11110,내수동,2021-07-19,경희궁의아침3단지,72,150.48,15,2004,177000
11110,무악동,2021-07-08,인왕산아이파크,60,84.85799999999998,5,2008,139400
11110,무악동,2021-07-10,현대,82,84.92,14,2000,125000
11110,무악동,2021-07-14,경희궁 롯데캐슬,89,59.6737,4,2019,140000
11110,부암동,2021-07-14,부암스카이뷰,218-1,76.65,2,2004,50000
11110,사직동,2021-07-15,광화문풍림스페이스본(106동),9-1,144.52,7,2008,167000
11110,사직동,2021-07-19,광화문풍림스페이스본(101동~105동),9,147.31,7,2008,180000
11110,사직동,2021-07-22,광화문풍림스페이스본(101동~105동),9,159.01,9,2008,164500
11110,사직동,2021-07-24,광화문풍림스페이스본(101동~105동),9,97.61,7,2008,129500
11110,사직동,2021-07-29,광화문풍림스페이스본(101동~105동),9,94.51,8,2008,138000
11110,수송동,2021-07-01,로얄팰리스스위트,85,130.98,17,2005,130000
11110,숭인동,2021-07-05,도시그린빌라,181-121,58.79,1,1997,30000
11110,숭인동,2021-07-05,종로아인스빌,1392-1,12.15,15,2013,10500
11110,숭인동,2021-07-19,종로동광모닝스카이,1421-1,15.855,10,2013,12000
11110,숭인동,2021-07-21,종로동광모닝스카이,1421-1,15.855,16,2013,11500
11110,숭인동,2021-07-28,종로센트레빌,2-1,59.92,4,2008,95000
11110,신문로2가,2021-07-07,디팰리스,171,158.32399999999996,16,2020,360000
11110,익선동,2021-07-12,현대뜨레비앙,55,48.54,3,2003,31500
11110,익선동,2021-07-12,현대뜨레비앙,55,36.08,8,2003,26800
11110,익선동,2021-07-19,현대뜨레비앙,55,43.98,6,2003,30000
11110,인의동,2021-07-12,효성쥬얼리시티,48-2,84.64,7,2006,89000
11110,창신동,2021-07-05,창신쌍용2,703,79.87,2,1993,75000
11110,창신동,2021-07-10,창신쌍용2,703,64.66,9,1993,70000
11110,창신동,2021-07-12,창신쌍용2,703,79.87,7,1993,85000
